Sample	file_id	Resgenes	file_id	num_contigs	total_length	gc	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	PredictedMobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_cluster
BV27_S110	plasmid_23.fasta	NA	plasmid_23.fasta	1	6568	48.507917174177834	ColRNAI_rep_cluster_1857	000008__AJ627566	MOBP	NC_019076_00002	-	-	MOBP	MF083142	Mobilizable	CP016519	0.000483446	2
BV27_S110	plasmid_786.fasta	NA	plasmid_786.fasta	4	26095	39.65510634221115	-	-	-	-	MPF_T	NC_011351_00013,NC_011351_00011,NC_011351_00005,NC_011351_00014	-	-	Non-mobilizable	CP008807	0.0241368	78
BV27_S110	plasmid_novel_0.fasta	NA	plasmid_novel_0.fasta	1	10773	41.93817878028404	IncFIB	000101__NZ_CP012345_00042	-	-	-	-	-	-	Non-mobilizable	AY333434	0.219531	155
BV27_S110	plasmid_528.fasta	NA	plasmid_528.fasta	3	53946	53.221740258777295	-	-	MOBF	NC_017627_00068	MPF_F	08-5333_00200,NC_013437_00116,NC_019094_00090,NC_017639_00094,NC_010409_00124,NC_017639_00100,NC_019094_00068,NC_007675_00027,NC_019037_00027,NC_010719_00096,NC_014615_00033,NC_022651_00077	-	-	Conjugative	CP018107	0.030875	52
BV27_S110	plasmid_476.fasta	sul2;blaCTX-M-1;tet(A)	plasmid_476.fasta	14	118729	50.50493139839466	IncI1	000145__HE610900_00001	MOBP	NC_019097	MPF_I	NC_019111_00038,NC_019097_00085,NC_015965_00072,NC_023290_00086,NC_022267_00057,NZ_CM001473_00069,NC_019097_00056,NC_022267_00069,NC_019097_00075	MOBP	HM021326	Conjugative	KT779550	0.00492718	47
BV31_S27	plasmid_1007.fasta	NA	plasmid_1007.fasta	17	74998	47.12659004240113	IncH	000138__CP021336_00001	-	-	-	-	-	-	Non-mobilizable	CP019216	0.0274249	100
BV31_S27	plasmid_2911.fasta	NA	plasmid_2911.fasta	1	23510	51.14419396001701	-	-	-	-	-	-	-	-	Non-mobilizable	CP012736	0.0442483	291
BV36_S28	plasmid_novel_0.fasta	NA	plasmid_novel_0.fasta	1	121285	50.26425361751247	-	-	MOBP	NC_011416_00039	-	-	-	-	Mobilizable	CP022051	0.203604	78
BV36_S28	plasmid_991.fasta	aph(6)-Id;blaCTX-M-15;blaTEM-1B;qnrS1;sul2;dfrA14	plasmid_991.fasta	6	84927	49.76862481896217	IncY	000230__CP009168_00001	MOBC	NC_014725_00039	MPF_T	NC_011092_00102,NC_011092_00100,NC_011092_00103	-	-	Conjugative	CP021681	0.00279888	99
BV38_S29	plasmid_546.fasta	aph(6)-Id;aph(3'')-Ib;blaTEM-1B;sul2	plasmid_546.fasta	17	65510	51.2043962753778	IncFIIA,IncFII	000136__AP014877_00014,000121__CP024805	MOBF	NC_017627_00068	MPF_F	NC_017639_00100,NC_017639_00094,NC_022651_00077,NC_010719_00097,NC_010719_00096,NC_010409_00124,NC_019094_00090,NC_007675_00027,NC_010488_00021,NC_013437_00116,08-5333_00200,NC_019037_00027	-	-	Conjugative	CP011135	0.0351567	54
BV39_S30	plasmid_811.fasta	NA	plasmid_811.fasta	3	21644	57.558676769543524	-	-	-	-	-	-	-	-	Non-mobilizable	FJ042668	0.0424367	81
BV4_S105	plasmid_1007.fasta	NA	plasmid_1007.fasta	6	37563	47.33115033410537	IncH	000138__CP021336_00001	-	-	-	-	-	-	Non-mobilizable	CP019216	0.0453547	100
BV4_S105	plasmid_2911.fasta	NA	plasmid_2911.fasta	1	24739	50.1637091232467	-	-	-	-	-	-	-	-	Non-mobilizable	CP012736	0.045678	291
BV53_S32	plasmid_1007.fasta	tet(A)	plasmid_1007.fasta	18	77026	48.4927167449952	IncH	000138__CP021336_00001	MOBP	NC_011416_00039	-	-	-	-	Mobilizable	CP019216	0.0108702	100
BV6_S190	plasmid_2912.fasta	NA	plasmid_2912.fasta	1	25896	50.100401606425706	-	-	-	-	-	-	-	-	Non-mobilizable	CP010208	0.0466675	291
BV6_S190	plasmid_novel_1.fasta	NA	plasmid_novel_1.fasta	5	29134	46.96231207523855	IncH	000138__CP021336_00001	-	-	-	-	-	-	Non-mobilizable	CP019216	0.0549966	100
BV6_S190	plasmid_469.fasta	NA	plasmid_469.fasta	1	4074	49.97545409916544	rep_cluster_1778	001203__CP012629_00001	MOBQ	NC_011411_00002	-	-	MOBQ	NC_009791	Mobilizable	KT693145	0.00141786	46
BV6_S190	plasmid_1007.fasta	NA	plasmid_1007.fasta	5	26603	46.36319212118934	-	-	-	-	-	-	-	-	Non-mobilizable	CP019216	0.0444041	100
BV6_S190	plasmid_740.fasta	blaSHV-12	plasmid_740.fasta	1	4474	62.36030397854269	-	-	-	-	-	-	-	-	Non-mobilizable	CP015133	0.0259767	74
BV6_S190	plasmid_1552.fasta	tet(A);aph(6)-Id;aadA5;sul1;sul2;dfrA17;blaTEM-1B;mph(A)	plasmid_1552.fasta	13	143938	53.82108963581542	IncQ1,IncFIIA,IncFIA,IncFII,IncFIB	000195__NC_013728_00014,000136__AP014877_00014,000094__NZ_CP015070_00117,000121__CP024805,000095__NZ_CP014273_00094	MOBF	NC_017627_00068	MPF_F	NC_010488_00021,NC_022651_00077,NC_010409_00124,NC_007675_00027,NC_019037_00027,NC_008460_00107,NC_017639_00094,NC_017639_00100,NC_010719_00097,NC_019094_00090,08-5333_00200,NC_013437_00116	MOBF	KT754162	Conjugative	CP013832	0.00892796	155
BV6_S190	plasmid_novel_0.fasta	NA	plasmid_novel_0.fasta	1	2390	52.38493723849373	-	-	MOBP	NC_011416_00039	-	-	-	-	Mobilizable	EF536825	0.118834	5
BV6_S190	plasmid_179.fasta	NA	plasmid_179.fasta	1	2014	49.60278053624628	ColRNAI_rep_cluster_1857	000012__CP000801	-	-	-	-	-	-	Non-mobilizable	CP006660	0.000385581	17
BV6_S190	plasmid_29.fasta	NA	plasmid_29.fasta	1	4065	53.111931119311194	ColRNAI_rep_cluster_1857	000008__AJ627566	MOBP	NC_023328_00003	-	-	MOBP	NC_017657	Mobilizable	CP011137	0.0323015	2
BV76_S111	plasmid_novel_0.fasta	NA	plasmid_novel_0.fasta	1	23970	48.70254484772632	-	-	MOBP	NC_011416_00039	-	-	-	-	Mobilizable	CP006000	0.167688	156
BV76_S111	plasmid_1563.fasta	aadA5;aph(6)-Id;aph(3'')-Ib;dfrA17;blaTEM-1B;tet(A);sul1;sul2;mph(A)	plasmid_1563.fasta	13	130518	51.81430913743698	IncFIB,IncFII,ColRNAI_rep_cluster_1291,IncFIIA	000096__NC_019117_00097,000121__CP024805,000002__NC_009781,000136__AP014877_00014	MOBF	NC_017627_00068	MPF_F	NC_019094_00090,NC_019094_00068,08-5333_00200,NC_022651_00077,NC_018966_00040,NC_013437_00116,NC_008460_00107,NC_010409_00124,NC_010719_00097,NC_017639_00100,NC_007675_00027,NC_017630_00031	MOBF	NC_010600	Conjugative	CP014493	0.00417861	156
BV78_S106	plasmid_novel_0.fasta	NA	plasmid_novel_0.fasta	4	25673	48.60748646437892	IncY	000230__CP009168_00001	MOBP	NC_011416_00039	-	-	-	-	Mobilizable	CP020936	0.0579033	101
BV78_S106	plasmid_991.fasta	blaCTX-M-15;qnrS1;tet(A);aadA5;dfrA17;sul2	plasmid_991.fasta	4	76366	54.15760940732787	IncFIB	000107__CP014778_00094	MOBC	NC_014725_00039	MPF_T	NC_011092_00102,NC_011092_00100,NC_011092_00103	-	-	Conjugative	KM023153	0.0064892	99
BV85_S113	plasmid_novel_0.fasta	NA	plasmid_novel_0.fasta	1	71853	50.951247686248315	-	-	MOBP	NC_011416_00039	-	-	-	-	Mobilizable	CP012732	0.191731	107
BV85_S113	plasmid_110.fasta	qnrS1;blaCTX-M-15	plasmid_110.fasta	1	7651	48.51653378643314	-	-	-	-	-	-	-	-	Non-mobilizable	JX017307	0.0450347	11
BV86_S118	plasmid_2912.fasta	NA	plasmid_2912.fasta	1	24946	50.909965525535156	-	-	-	-	-	-	-	-	Non-mobilizable	CP010208	0.0419997	291
BV86_S118	plasmid_novel_1.fasta	NA	plasmid_novel_1.fasta	1	3707	43.16158618829242	rep_cluster_2050	001473__CP024541	-	-	-	-	-	-	Non-mobilizable	AY028316	0.0505746	
BV86_S118	plasmid_739.fasta	qepA4	plasmid_739.fasta	1	4446	69.25326135852451	-	-	-	-	-	-	-	-	Non-mobilizable	KR259130	0.0233014	73
BV86_S118	plasmid_219.fasta	NA	plasmid_219.fasta	2	6327	49.359886201991465	-	-	MOBP	NC_011416_00039	-	-	-	-	Mobilizable	CP019003	0.0307758	21
BV86_S118	plasmid_novel_2.fasta	NA	plasmid_novel_2.fasta	1	2652	47.586726998491706	Inc13	000058__CP000643_00001	-	-	-	-	-	-	Non-mobilizable	CP000643	0.14383	83
BV86_S118	plasmid_novel_0.fasta	NA	plasmid_novel_0.fasta	1	1551	51.06382978723404	ColRNAI_rep_cluster_1885	000013__DQ995351_00001	-	-	-	-	MOB_unknown,MOBP	CP018359,AB027308	Mobilizable	JN253636	0.0547827	41
BV86_S118	plasmid_471.fasta	NA	plasmid_471.fasta	3	4294	50.51234280391244	rep_cluster_1778	001201__CP010878_00001	-	-	-	-	MOBQ,MOBQ	NC_013507,NC_010672	Mobilizable	CP011140	0.0243695	47
BV86_S118	plasmid_690.fasta	NA	plasmid_690.fasta	3	8057	55.59141119523396	-	-	-	-	-	-	-	-	Non-mobilizable	CP021135	0.0342477	69
BV86_S118	plasmid_824.fasta	blaCTX-M-15;blaTEM-1B;sul2;sul1;aph(6)-Id;dfrB4;tet(A);tet(B)	plasmid_824.fasta	5	41278	53.8277048306604	-	-	-	-	-	-	-	-	Non-mobilizable	JQ480155	0.0339141	82
BV86_S118	plasmid_261.fasta	NA	plasmid_261.fasta	1	3374	54.97925311203319	-	-	MOBP	NC_011082_00002	-	-	-	-	Mobilizable	CP001119	0.0205456	26
BV86_S118	plasmid_29.fasta	NA	plasmid_29.fasta	1	3758	52.60777009047366	-	-	MOBP	NC_023328_00003	-	-	MOBP	NC_017657	Mobilizable	CP011137	0.0359759	2
CH10_S102	plasmid_497.fasta	NA	plasmid_497.fasta	1	27713	46.061415220293725	rep_cluster_312	001623__NC_020920_00001	MOBP	NZ_CM000957_00016	MPF_T	NC_020920_00011,NC_020920_00017,NC_020920_00010,NZ_CM000957_00028,NZ_CM000957_00030	-	-	Conjugative	KR779901	0.00705245	49
CH10_S102	plasmid_476.fasta	NA	plasmid_476.fasta	1	86534	50.11787274366145	IncI1	000145__HE610900_00001	MOBP	NC_019097	MPF_I	NC_023290_00086,NC_019111_00038,NC_022267_00069,NC_019097_00075,NC_019097_00056,NZ_CM001473_00069,NC_022267_00057,NC_015965_00072,NC_019097_00085	MOBP	JN253636	Conjugative	CP016520	0.00888862	47
CH10_S102	plasmid_920.fasta	blaCTX-M-55	plasmid_920.fasta	2	110946	46.060245524849925	IncFIB	000105__NC_011917_00001	-	-	-	-	-	-	Non-mobilizable	CP020118	0.0120298	92
CH14_S138	plasmid_405.fasta	blaCTX-M-27	plasmid_405.fasta	1	4456	51.3689407540395	-	-	-	-	-	-	-	-	Non-mobilizable	AY033516	0.0221335	40
CH14_S138	plasmid_1007.fasta	sul2;tet(A)	plasmid_1007.fasta	19	77977	49.42354796927299	IncH	000138__CP021336_00001	-	-	-	-	-	-	Non-mobilizable	CP019216	0.0282247	100
CH14_S138	plasmid_novel_0.fasta	NA	plasmid_novel_0.fasta	1	3563	46.81448217793994	-	-	MOBP	NC_011416_00039	-	-	-	-	Mobilizable	EF536825	0.11676	5
CH15_S17	plasmid_2910.fasta	NA	plasmid_2910.fasta	1	25208	50.61091716915265	-	-	-	-	-	-	-	-	Non-mobilizable	CP012733	0.0434809	291
CH15_S17	plasmid_159.fasta	NA	plasmid_159.fasta	1	3045	44.860426929392446	-	-	-	-	-	-	MOBP	NC_019148	Mobilizable	CP016527	0.0011089	15
CH15_S17	plasmid_991.fasta	tet(A);sul2;dfrA14;aph(6)-Id;qnrS1;blaCTX-M-15;blaTEM-1B	plasmid_991.fasta	5	92575	50.56008641641912	IncY	000230__CP009168_00001	MOBC	NC_014725_00039	MPF_T	NC_011092_00102,NC_011092_00100,NC_011092_00103	-	-	Conjugative	CP021681	0.00238081	99
CH15_S17	plasmid_1068.fasta	NA	plasmid_1068.fasta	2	12571	54.315488028000956	-	-	-	-	-	-	-	-	Non-mobilizable	CP021680	0.0198213	106
CH16_S14	plasmid_357.fasta	tet(A);dfrA12;sul2;aph(6)-Id;aadA2	plasmid_357.fasta	5	18195	55.300906842539156	ColRNAI_rep_cluster_1987	000019__CP000651_00005	MOBP	NC_011416_00039	-	-	MOBP	AJ001708	Mobilizable	CP000641	0.0250805	35
CH16_S14	plasmid_2911.fasta	NA	plasmid_2911.fasta	2	24371	50.79807968487136	-	-	-	-	-	-	-	-	Non-mobilizable	CP012736	0.0494626	291
CH17_S139	plasmid_357.fasta	sul2;aph(6)-Id	plasmid_357.fasta	1	6222	52.475088396014144	ColRNAI_rep_cluster_1987	000019__CP000651_00005	-	-	-	-	MOBP	AJ001708	Mobilizable	HM371192	0.000119496	35
CH17_S139	plasmid_novel_1.fasta	NA	plasmid_novel_1.fasta	1	1549	51.00064557779213	ColRNAI_rep_cluster_1885	000013__DQ995351_00001	-	-	-	-	MOB_unknown,MOBP	GQ900404,CP001386	Mobilizable	JN253636	0.0613264	41
CH17_S139	plasmid_novel_2.fasta	NA	plasmid_novel_2.fasta	4	33130	48.24630244491397	IncFIIA,IncFII	000136__AP014877_00014,000121__CP024805	-	-	-	-	MOBF	KY126370	Mobilizable	CP013834	0.054149	54
CH17_S139	plasmid_novel_0.fasta	NA	plasmid_novel_0.fasta	1	6306	48.85823025689819	IncFII,IncFIIA	000121__CP024805,000136__AP014877_00014	-	-	-	-	-	-	Non-mobilizable	CP018771	0.130979	101
CH17_S139	plasmid_60.fasta	NA	plasmid_60.fasta	1	1983	57.08522440746344	ColRNAI_rep_cluster_1993	000024__JX133088	-	-	-	-	MOBP	NC_018997	Mobilizable	CP016511	0.0434809	6
CH17_S139	plasmid_839.fasta	NA	plasmid_839.fasta	1	2089	47.247486835806605	Inc13	000058__CP000643_00001	-	-	-	-	-	-	Non-mobilizable	CP008719	0.000880953	83
CH17_S139	plasmid_1095.fasta	dfrA12;aadA2;aac(3)-IId;mph(A);blaTEM-1B;sul1	plasmid_1095.fasta	3	20420	55.16160626836435	-	-	-	-	-	-	-	-	Non-mobilizable	KX839210	0.0238299	109
CH17_S139	plasmid_1068.fasta	NA	plasmid_1068.fasta	2	10888	56.282145481263775	-	-	-	-	-	-	-	-	Non-mobilizable	CP021680	0.0313762	106
CH19_S16	plasmid_2912.fasta	NA	plasmid_2912.fasta	1	28850	49.2790294627383	-	-	-	-	-	-	-	-	Non-mobilizable	CP010208	0.0340249	291
CH19_S16	plasmid_920.fasta	blaCTX-M-55	plasmid_920.fasta	2	112192	46.153023388476896	IncFIB	000105__NC_011917_00001	MOBP	NC_011416_00039	-	-	-	-	Mobilizable	CP020118	0.0122141	92
CH20_S15	plasmid_novel_0.fasta	NA	plasmid_novel_0.fasta	1	389867	50.102727340349404	-	-	MOBP	NC_011416_00039	-	-	-	-	Mobilizable	CP003035	0.295981	156
CH20_S15	plasmid_887.fasta	NA	plasmid_887.fasta	1	2442	48.85339885339885	-	-	-	-	-	-	-	-	Non-mobilizable	CP003996	0.00993767	88
CH21_S40	plasmid_476.fasta	NA	plasmid_476.fasta	3	87415	49.94680546816908	IncI1	000145__HE610900_00001	MOBP	NC_019097	MPF_I	NC_019111_00038,NZ_CM001473_00069,NC_019097_00056,NC_022267_00057,NC_015965_00072,NC_022267_00069,NC_023290_00086,NC_019097_00085,NC_019097_00075	MOBP	HM021326	Conjugative	CP019996	0.00662843	47
CH21_S40	plasmid_920.fasta	blaCTX-M-55	plasmid_920.fasta	4	111973	46.17988265028176	IncFIB	000105__NC_011917_00001	MOBP	NC_011416_00039	-	-	-	-	Mobilizable	CP020118	0.0123533	92
CH22_S41	plasmid_475.fasta	blaCTX-M-15;sul2;qnrS1	plasmid_475.fasta	6	102263	51.124062466385695	IncI1	000145__HE610900_00001	MOBP	NC_019097	MPF_I	NC_022267_00057,NC_019111_00038,NC_022267_00069,NZ_CM001473_00069,NC_015965_00072,NC_019097_00075,NC_019097_00085,NC_019097_00056,NC_023290_00086	MOBP	JN253636	Conjugative	CP003290	0.00708822	47
CH22_S41	plasmid_novel_0.fasta	NA	plasmid_novel_0.fasta	1	2958	48.03921568627451	IncI2	000147__CP006264_00003	-	-	-	-	-	-	Non-mobilizable	FR851304	0.142009	64
CH22_S41	plasmid_795.fasta	NA	plasmid_795.fasta	1	25752	52.368748058403234	-	-	-	-	-	-	-	-	Non-mobilizable	CP019906	0.0351567	79
CH22_S41	plasmid_839.fasta	NA	plasmid_839.fasta	1	2101	47.12041884816754	-	-	-	-	-	-	-	-	Non-mobilizable	CP000643	0.000483446	83
CH22_S41	plasmid_538.fasta	NA	plasmid_538.fasta	3	41799	50.97011890236609	IncFII,IncFIIA	000121__CP024805,000136__AP014877_00014	MOBF	NC_017627_00068	MPF_F	NC_010719_00096,NC_010488_00021,NC_007675_00027,NC_018966_00040,NC_010409_00124,08-5333_00200,NC_013437_00116,NC_019094_00090,NC_017639_00100,NC_022651_00077,NC_010719_00097,NC_017639_00094	-	-	Conjugative	CP018958	0.0307758	53
CH22_S41	plasmid_1068.fasta	NA	plasmid_1068.fasta	1	8696	56.40524379024839	-	-	-	-	-	-	-	-	Non-mobilizable	CP021680	0.0305785	106
CH23_S42	plasmid_1367.fasta	NA	plasmid_1367.fasta	1	51937	51.58364942141441	IncFII,IncFIIA	000121__CP024805,000136__AP014877_00014	MOBF	NC_017627_00068	MPF_F	NC_010719_00097,NC_022651_00077,NC_013437_00116,NC_010409_00124,NC_010719_00096,NC_007675_00027,NC_017639_00094,NC_017639_00100,NC_010488_00021,NC_019037_00027,NC_019094_00090,08-5333_00200	MOBP	NZ_ATFQ01000044	Conjugative	CP006001	0.0350415	136
CH23_S42	plasmid_475.fasta	qnrS1;blaCTX-M-15	plasmid_475.fasta	12	61563	50.215226678362	IncI1	000144__CP015838_00058	MOBP	NC_019097	MPF_I	NC_023290_00086,NC_022267_00057,NC_015965_00072,NC_019111_00038,NC_019097_00056	-	-	Conjugative	MF078004	0.0135016	47
CH23_S42	plasmid_376.fasta	dfrA1;dfrA1;dfrA1	plasmid_376.fasta	11	55895	54.083549512478754	IncFIIA	000136__AP014877_00014	MOBF	NC_022333_00006	MPF_F	NZ_AGTD01000004_00099,NZ_AGTD01000004_00094,NC_007635_00031,NC_022333_00021,NC_021817_00023,NC_009787_00004,NZ_AGTD01000004_00104,NC_021871_00015,NZ_AGTD01000004_00091,NZ_AGTD01000004_00096,NC_022333_00014	-	-	Conjugative	CP021212	0.0254028	37
CH23_S42	plasmid_novel_0.fasta	sul2	plasmid_novel_0.fasta	5	10358	55.6284997103688	-	-	MOBP	NC_011416_00039	-	-	-	-	Mobilizable	CP021135	0.0671564	69
CH23_S42	plasmid_839.fasta	NA	plasmid_839.fasta	1	2089	47.19961704164672	Inc13	000058__CP000643_00001	-	-	-	-	-	-	Non-mobilizable	CP008719	0.000705841	83
CH23_S42	plasmid_474.fasta	NA	plasmid_474.fasta	2	26415	50.993753549119816	-	-	-	-	MPF_I	NZ_CM001473_00069,NC_022267_00069,NC_019097_00085,NC_019097_00075	-	-	Non-mobilizable	CP011337	0.0385787	47
CH23_S42	plasmid_3876.fasta	NA	plasmid_3876.fasta	1	5554	41.21353979114152	-	-	-	-	-	-	-	-	Non-mobilizable	KY486774	0.0110007	387
CH25_S27	plasmid_novel_0.fasta	NA	plasmid_novel_0.fasta	1	3282	45.947592931139546	ColRNAI_rep_cluster_1857	000008__AJ627566	-	-	-	-	MOB_unknown,MOBP	NC_019986,KY421937	Mobilizable	CP016042	0.0503867	3
CH25_S27	plasmid_1555.fasta	mph(A);sul1;sul2;aac(3)-IId;aph(6)-Id;aadA5;aph(3'')-Ib;dfrA17;tet(A);blaTEM-1B	plasmid_1555.fasta	23	104935	51.85305188926478	IncFIB,IncFIA	000095__NZ_CP014273_00094,000094__NZ_CP015070_00117	MOBF	NC_011980_00044	MPF_F	NC_010409_00124,08-5333_00200,NC_022651_00077,NC_010719_00096	MOBF	KT754162	Conjugative	CP021733	0.0170111	155
CH25_S27	plasmid_839.fasta	NA	plasmid_839.fasta	1	2088	47.270114942528735	Inc13	000058__CP000643_00001	-	-	-	-	-	-	Non-mobilizable	CP008719	0.0034604	83
CH26_S43	plasmid_1007.fasta	NA	plasmid_1007.fasta	18	72515	47.35296145625043	IncH	000138__CP021336_00001	MOBP	NC_011416_00039	-	-	-	-	Mobilizable	CP019216	0.0106116	100
CH2_S71	plasmid_497.fasta	NA	plasmid_497.fasta	1	27731	46.0495474378854	rep_cluster_312	001623__NC_020920_00001	MOBP	NZ_CM000957_00016	MPF_T	NC_020920_00010,NZ_CM000957_00030,NC_020920_00011,NZ_CM000957_00028,NC_020920_00017,NC_020920_00020	-	-	Conjugative	KR779901	0.00505504	49
CH2_S71	plasmid_novel_0.fasta	NA	plasmid_novel_0.fasta	1	3166	33.16487681617183	-	-	MOBV	NC_020124_00004	-	-	-	-	Mobilizable	CP002486	0.125715	105
